timestamp,instrument,price,score,max_score,direction,conviction,bb_touch,rsi_extreme,bb_squeeze,session_quality
2026-03-16_1626,AUDUSD,0.7047,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1704,AUDUSD,0.706,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1719,AUDUSD,0.7058,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1734,AUDUSD,0.7058,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1749,AUDUSD,0.7057,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1804,AUDUSD,0.706,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1819,AUDUSD,0.7066,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1834,AUDUSD,0.7073,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1849,AUDUSD,0.7077,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1904,AUDUSD,0.7076,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1919,AUDUSD,0.7077,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-16_1934,AUDUSD,0.7075,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_1949,AUDUSD,0.707,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-16_2004,AUDUSD,0.7072,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_2019,AUDUSD,0.7073,0.0,14.0,,,0.0,-1.0,0.0,1.0
2026-03-16_2034,AUDUSD,0.7071,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-16_2049,AUDUSD,0.7072,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-16_2104,AUDUSD,0.7072,0.0,14.0,,,0.0,-1.0,0.0,-1.0
2026-03-16_2119,AUDUSD,0.7074,0.0,14.0,,,0.0,-1.5,0.0,-1.0
2026-03-16_2134,AUDUSD,0.707,0.0,14.0,,,0.0,0.0,0.0,-1.0
2026-03-16_2149,AUDUSD,0.707,0.0,14.0,,,0.0,0.0,0.0,-1.0
2026-03-17_0704,AUDUSD,0.707,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0719,AUDUSD,0.7065,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0734,AUDUSD,0.7073,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0749,AUDUSD,0.7065,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0804,AUDUSD,0.707,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0819,AUDUSD,0.7065,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0834,AUDUSD,0.707,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0849,AUDUSD,0.7076,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0904,AUDUSD,0.7088,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0919,AUDUSD,0.708,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_0934,AUDUSD,0.7085,0.0,14.0,,,0.0,-1.0,0.0,1.0
2026-03-17_0949,AUDUSD,0.7087,0.0,14.0,,,0.0,-0.5,0.0,1.0
2026-03-17_1004,AUDUSD,0.7089,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_1019,AUDUSD,0.7081,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_1034,AUDUSD,0.7087,0.0,14.0,,,0.0,0.0,0.0,1.0
2026-03-17_1049,AUDUSD,0.7083,0.0,14.0,,,0.0,0.0,0.0,1.0
